PRODUCTNAME,ISSTOPPED,RE06 # Transaction,RE01 # items_sold,Total Stock on hand
Close Up KDR Huong Bac Ha 140g,0,47,48,9
Decontractyl 250mg (Hop/60 Vien),0,47,409,131
Diana BVS Sieu Tham Sieu Mong 0.1 8M,0,47,61,13
Diana BVS Sieu Tham Sieu Mong Canh 8M,0,47,62,9
Efferalgan Suppo. 150mg (dat),0,47,251,19
Kotex BVS Hang Ngay Sieu Bao Ve 8m/48,0,47,60,14
Milian (10chai/ Loc),0,47,71,9
Nexium Tab 40mg (2Vi x 7Vien),0,47,243,37
Sangjung Pulp Khan giay uot Aloe Vera 30s/goi,0,47,60,6
Urgo Women (10 mieng),0,47,53,18
Yomost Jellyz Vi Tao - Nho Rung 180ml(Thung/24chai),1,47,58,0
Aquafresh Interdental BCDR,0,46,58,7
Bao Thach Bong Y Te 100g,0,46,56,6
Bobby Care Khan Giay Uot 100M,0,46,49,3
Chlorpheniramin 4mg (Chai 200vien),0,46,189,211
Drosperin Coated Tablets B/28 (New) (Vien trang dai),0,46,40,3
Durex Perfoma 12c,0,46,46,4
Gillette Dao cao Vector Plus Razor 1Upx12(10.12)SBD,0,46,46,9
Hapacol Extra,0,46,274,121
P/S KDR Ngua Sau Rang Vuot Troi 240g,0,46,49,8
Pantoprazole 40mg - Euvipharm (vien nang),1,46,200,0
Son Huong- Gang Tay Y Te Size L,0,46,490,53
Aerius Syr 0.5mg/ml,0,45,46,0
"Aquafresh KDR Whitening Action 158,7g",0,45,50,23
Bach Tuyet Bong Y Te Tham Nuoc Zigzag,0,45,54,4
Band-Aid Fabric BCN Hop 50Mieng,0,45,751,449
Close Up KDR Huong Loc De 140g,0,45,45,9
Dau Nong Truong Son 10ml,0,45,71,5
Erythormycin va Nghe,0,45,46,7
Fisherman's Friend Original Vi Cam Thao Keo Ngam 25g,1,45,48,0
Listerine NSM Cool Mint 500ml,0,45,56,10
Phytogyno 100ml,0,45,46,3
Scanax 500,0,45,241,59
Tea Plus Tra Xanh Matcha 350ml(Thung/24Chai),0,45,61,23
Vinh Phuc - Con 90 mau trang (60ml),0,45,101,0
Acyclovir STADA 800mg,0,44,797,113
Colgate KDR MaxFresh Xanh La 200g,0,44,58,6
Dau Phat Linh (N),0,44,59,3
Diana BVS HN Sensi Cool Fresh 20M,0,44,55,7
Flemex Tab 375mg (Hop/5Vi/50Vien),0,44,357,85
H&S DG Bac ha mat ruoi 173ml,0,44,45,3
Hapacol 80mg (H24g),0,44,324,36
Teen Derm Gel 150ml - ISIS pharma,0,44,44,1
Zentel Tab 200mg (Hop/ 2 Vien),0,44,148,5
Ampha BC Complex (10Vi x 10Vien) - Ampharco,1,43,161,138
Ariel,0,43,84,8
Berberal,0,43,56,5
Erylik,0,43,44,0
Remos IB,0,43,44,3
Vitamin E - OPC,0,43,62,6
Allopurinol Stada 300mg,0,42,694,100
Aquafresh KDR Little teeth 3-5T 50ml,0,42,44,9
Calcium 500mg ( viên sủi),0,42,198,0
CONS Ace Band-S Sheer (Mau da) (10M),0,42,43,11
Diana BVS Sensi Night 4M,0,42,50,8
Durex Invisible,0,42,59,12
Euvixim 100mg (vien),0,42,220,41
Jele Nuoc Ep Trai Cay Thach Vitamin 150g (Loc 3 goi ),0,42,65,13
Jex Max,0,42,42,3
Keo Chocolate M&M Milk 40g,0,42,49,3
Lactacyd Soft & Silky 60ml,0,42,49,0
Maxxhair,0,42,60,3
Ovantine Sua Dinh Duong 180ml,0,42,69,24
Sensodyne KDR Rapid Relief 100g,0,42,47,12
Vitamin B1 250mg MKP (Hop/100 vien),0,42,1195,185
Yen Viet Chao Yen Vi Ga 50gr,0,42,74,10
Alumina,0,41,600,120
Calcium Vitamin D3 (viên sủi) - Stada,1,41,81,0
Ceodex 100 (H/10Vien),1,41,190,0
Colgate KDR Tre Em SpiderMan 40g,0,41,41,14
Diana BVS Night 04M,0,41,51,11
Homtamin Ginseng,0,41,540,0
Jele Nuoc Ep Trai Cay Thach Collagen 150g (Loc 3 goi ),0,41,47,7
Loperamid DMC,0,41,265,85
Pepsi 330ml (Thung/24 Lon Cao),0,41,51,27
Pupply Khan Giay Lua Que (1 Thung/100 Loc/6 Goi),1,41,66,0
Remos Xit,0,41,43,14
Richoco Banh xop 52g 60goi/thung,0,41,42,12
Soffell huong cam 60ml,0,41,43,10
Son Huong Bom Tiem 10ml/cc,0,41,99,0
Tresemme DG Keratin Smooth 170g,0,41,41,8
Vinamilk Sua Tuoi Co Duong 1L(Thung /12Hop),1,41,48,0
Alpen Dau Keo Thoi 16c/hop,0,40,41,21
Augmentin 500/62.5 Sac 500mg,0,40,232,20
Boganic vien nang (5Vi x 10Vien),0,40,42,1
Dau Gio Xanh Thien Thao 12ml,0,40,43,4
Fisherman's Friend Spearmint Keo Ngam 25g,0,40,41,15
Fress Care Khan Uot Apple 10T,0,40,55,10
Fristi Sua Chua Uong Dau 80ml(Thung/48 chai),0,40,70,16
Hapacol 150mg,0,40,272,62
Moriamin Fort,0,40,639,159
Okamura Chi Nha Khoa Asahi 40m/cai,0,40,43,10
Safeguard Xa Bong Cuc trang 135g,0,40,45,4
Teen Care Khan Uot Mau Do 20Mieng,0,40,40,0
VIETTEL 20,0,40,44,0
Yen Viet Chao Yen Vi Thit Bam 50gr,0,40,69,7
Acnes Giay Tham Dau 100 to,0,39,43,10
Bao Li Xi Pharmacity 2017 Nen Do (5Cai/Goi),0,39,48,0
Bento Muc Tam Gia Vi Cay Ngot 24g,0,39,45,19
Calcium Corbiere 5ml (Hop/30 Ong),0,39,870,120
Diamicron MR Tab 60mg,0,39,518,51
Eumovate 5g Cre 0.05%,0,39,68,3
Fleming 625mg (2 Vi x 7 Vien Nen),1,39,193,45
Hewel (Hop 30 Vien),0,39,48,4
Kotex Pro Sieu Mong Ban Dem 3M,0,39,48,13
MegaBrain,0,39,39,1
Oppa Sua Dau Nanh 260ml (Thung /24 Chai),0,39,48,25
Rhumenol Flu 500,0,39,346,146
Son Huong-Bom Tiem 1ml/cc,0,39,81,71
Sudocrem - Baby 60g,0,39,41,9
Woongjin Nuoc Nha Dam 180ml (1 Thung/24 Chai),0,39,53,23
Xisat xanh 70ml - đã đổi sang mã mới,1,39,41,0
Xyzal Tab 5mg (Hop/ 10 Vien),0,39,200,40
Aspartam - Pharmedic,0,38,43,4
Bon Ami Banh Cookies Classic Brownie 80gr (Thung/30 Cay),0,38,50,30
Bosamin Caps,0,38,371,169
Brexin Tab 20mg (2vi x 10vien),0,38,139,29
Clamoxyl Sac 250mg,0,38,203,25
Cool Air Gum (Hu/40 Vien),0,38,44,7
Dermatix Ultra 7g,0,38,36,5
Diana  BVS Hang Ngay ST Khang Khuan 8M,0,38,48,13
Fress Care Khan Uot Cucumber 10T,0,38,44,14
Jonnson Baby Phan Thom Powder 50G,0,38,38,8
Lifebuoy XBC Bao Ve Vuot Troi 10 90g,0,38,66,5
Nootropyl Tab 800mg,0,38,535,37
Olive Dau Goi Mau Nau Den 25ml,0,38,61,3
Poca Khoai Tay Chien Tu Nhien 54g,0,38,37,10
Povidine Sat Khuan 90ml - Pharmedic,0,38,67,8
Pulmoll Keo Ngam Kirsch 50g/Hop,0,38,38,6
Silcot Bong Trang Diem 82 Mieng,0,38,37,2
Silcot Bong Trang Diem Cao Cap 66 Mieng,0,38,41,3
Son Huong - Bom Tiem 3ml,0,38,98,1
Tresemme DX Keratin Smooth 170g,0,38,36,6
Ultracet Tabs. B/30,0,38,315,45
Urgo Family (5+5),0,38,41,20
Cefdinir 300 Glomed (H/20vien),0,37,12,1
Cinnarizin 25mg - DMC,0,37,122,58
Cloraxin nho mat - 3/2,0,37,43,3
Eunyul Mat Na Pearl 22ml,1,37,45,11
Extra Keo Gum Khong Duong Huong Bac Ha 11.2 g  (Hop/12 vi),0,37,54,17
Hapacol 650mg (10vi x 5vien),1,37,148,0
Nifedipin T20 Stada retard,0,37,104,16
NNO Nourishing Night Oil,0,37,37,1
Pectol Siro,0,37,41,4
Pulmoll Keo Ngam Orange 50g/Hop,0,37,36,8
Saforelle Rua Phu Khoa 100ml,0,37,37,4
Sensodyne Precision BCDR Cham Soc Toan Dien,0,37,40,8
Sprite 390ml (Thung/24 Chai),0,37,56,16
Thyrozol Tab 5mg,0,37,1498,115
Urgo Teen (10 mieng),0,37,44,24
Vastarel MR Tab 35mg (2 Vi x 30 Vien),0,37,620,100
Vedette Mat Na Giay Duong Da - Nha Dam,0,37,65,20
Wesser Khan Uot Co Nap 80t/goi,0,37,43,4
Xylitol Gum Fresh Mint 11.6g -15Vi/Hop,0,37,40,20
333 Bia 330ml (Thung/24 Lon),1,36,82,0
Azicine (Viên) - Stada,0,36,195,9
Dasani 350ml (Thung/24 Chai),1,36,50,0
Esoxium 40 mg (2 Vi x 10 Vien Nang),0,36,352,68
Kissy Khau Trang Size M,0,36,47,9
Kitkat Socola Tra Xanh 2F,0,36,54,4
Kotex HN Huong tu nhien 8M,0,36,45,6
KY Jelly 50g,0,36,36,11
Oishi Snack Cua Vi Sot Chua Ngot 45g/25,0,36,37,9
Pacific Ketoprofen Plaster,0,36,44,3
Sensodyne KDR Gentle Whitening 100gr,0,36,38,9
Sensodyne Micro Active BCDR Sieu Mem,0,36,42,7
Socola Kitkat 2F 17g (F/W),0,36,69,4
Sulpiride 50mg - Stada,0,36,609,91
Thai Duong Dau Goi Thai Duong Xanh 200ml,0,36,37,14
Urgo Waterproof 10's,0,36,37,2
Wonderfarm Nuoc Yen 240ml (Thung/30 Lon),0,36,52,12
Air-X Simethicone (Xanh),0,35,404,200
Ameflu Ban Dem (vien),0,35,242,158
Bao Thach Bong Y Te 50gr,0,35,45,8
Betadine antiseptic 10% 30ml,0,35,36,2
Clopistad H/30v,0,35,507,13
Close Up KDR Lua Bang 170g,0,35,38,17
Kissy Khau Trang Size S,0,35,40,5
Listerine Phim Ngam Thom Mieng,0,35,40,4
Listerine Xit Thom Mieng 7.7ml/cai,0,35,38,4
MOBI 20,0,35,37,0
Nivea Nuoc Tay Trang Sang Da Kiem Soat Nhon Mun 200ml 86609,0,35,33,8
Otilin,0,35,35,3
Safeguard Xa Bong Cuc Xanh 135g,0,35,41,6
Safia Keo Lot Mun 24g,0,35,35,0
Socola Kitkat Chunky 38g,0,35,57,4
Tyrotab vi,0,35,170,20
"Urgosterile 5,3x7cm (Hop/50 Mieng)",0,35,4,0
Ventolin Nebules Sol 2.5mg/2.5ml (6 Vi x 5 Ong),0,35,52,64
Bless You Khan Rut Tren BY Hold Me,0,34,57,83
CumarGold (H/30Vien),0,34,1290,60
Dau Gio Eagle 3ml,0,34,35,0
Diana BVS Hang Ngay Sensi Khang Khuan 20M,0,34,41,9
Domperidone GSK 10mg Tab,0,34,96,2
Doublemint Vien Ngam Spearmint 23.8g (Tuyp/35 Vien),0,34,40,7
EULEXCIN 500 (Vien nang),0,34,193,204
Flagyl 250mg (2 Vi x 10 Vien),0,34,423,39
Gillette Dao cao Blue II Plus goi 2 cayx12(04.13),0,34,37,6
Johnson Baby Dau Duong The Baby Oid 50ml,0,34,35,7
Listerine NSM  Bright Clean 250ml,0,34,32,4
Mat ong nghe Vien Vang 100g - Xuan Nguyen,0,34,35,3
Tragutan (H40goi x 5ml),0,34,205,0
Tresemme DG Keratin Smooth 340g,0,34,32,6
Vina Gac DHA 100v,0,34,38,4
Vrohto Antibacterial,0,34,34,2
VRohto Lycee,0,34,35,3
Aquafresh KDR Pure Breath Action 158.7g,0,33,35,8
Bao Li Xi Pharmacity 2017 Nen Trang (5Cai/Goi),0,33,48,0
Ceelin siro 120ml,0,33,33,3
Cefadroxil 500mg - Vidipha (Hop 10vien),0,33,200,21
Dian BVS Sieu Tham Canh 8M,0,33,40,12
Doxycyclin 100mg - Stada,1,33,260,0
Emos Giay Cuon Classic 2 Lop 2cuon/Cap,0,33,48,0
Giay An E MOS Premium 100T,0,33,45,2
Gold Peffize (5vi x 4vien),0,33,120,0
Gutaca Keo Gung (Hop 100 goi),0,33,286,214
Hoat Huyet Duong Nao (Bao phim),0,33,210,10
KM Tui My Pham Pharmacity,0,33,29,
Meteo spasmyl,0,33,196,23
Montiget 10mg (2Vi x 7Vien),0,33,54,0
Orion's Keo Ngam Mini Coca 9g (Goi/30 Hu),0,33,36,4
Oxy gia OPC (60ml/Chai) chuyen qua ma moi P09467,1,33,37,
Pepsane,0,33,300,60
Postinor2,0,33,67,6
Selsun Dau goi Tri Gau 1.0% 100ml,0,33,33,3
Sterimar Baby Dung Dich Xit Mui 50ml,0,33,31,4
Vinamilk Sua Tuoi Khong Duong 1L(Thung/12Hop),1,33,115,0
Whisper BVS Canh Thuong 10S,0,33,43,0
Acnotin10,0,32,572,58
Air-X Huong vi cam,0,32,285,113
Curiosin gel Tri Seo 15g,0,32,32,3
Debridat Tab 100mg,0,32,238,62
Eunyul Mat Na Tra Xanh 22ml,1,32,38,10
Gentridecme 10g,0,32,35,0
Happydent Xylitol Keo Gum Khong Đuong 60g (Hop/44 Vien),1,32,34,0
Kim Tien Thao (bao phim),0,32,46,0
Klamentin 250mg,0,32,192,0
Lactacyd Soft & Silky 250ml,0,32,31,7
Nystatin - Vidipha (2 vi x8 vien),0,32,154,21
Sensodyne  KDR Cool Gel (Mat Lanh) 100g,0,32,32,6
Viettel 100 - Payoo,0,32,33,18
Coversyl Tab 5mg (Chai/ 30 Vien),0,31,398,16
Jordan BCDR Double Action,0,31,47,5
Lipton Tra Xanh Vi Chanh Mat Ong 350ml (1 Thung/24 Chai),0,31,37,17
Lorastad D,0,31,137,45
MBL LIP AND EYE MU REMOVER 40ML,0,31,30,8
Megumi DG Ngan Rung Toc 175g,0,31,29,4
Mobifone tra truoc 50 - Topup,0,31,37,-37
Naturen Z,1,31,201,0
Obimin Tab H100v (10Vi x 10Vien),0,31,188,212
P/S BCDR Chai Sach Sau,0,31,33,6
Primperan 10mg tab,0,31,116,43
Proctolog Sup Vien Dat ( 2 Vi x 5 Vien),0,31,220,0
Sakura tam bong baby  (Hop/180 que),0,31,31,2
Sangjung Pulp Khan Giay Traveling Tissue 70s,0,31,35,7
Selsun 50ml (chong gau),0,31,29,2
Strepsils Honey Lemon (vi),0,31,516,60
Tobicom Caps,0,31,488,156
Tresemme DX Keratin Smooth 340g,0,31,34,2
Urgo Pore 1.25cm x 5m,0,31,33,16
Vedette Mat Na Sua Chua Giay Nha Dam,0,31,39,16
Vina 20 - Payoo,0,31,32,11
Vita C ngam (con vit),1,31,34,0
Woongjin Nuoc Gao 180ml (1 Thung/24 Chai),0,31,36,16
Betadine Gargle Sol 1% (Mouthwash),0,30,31,3
Bisacodyl DHG,0,30,1050,150
Dalacin T Solution 1%,0,30,31,4
Dau gio Khuynh Diep (N) - OPC,0,30,33,1
Dermatix Ultra 15g,0,30,30,4
Diclofen H100v,0,30,100,0
Durex Close Fit,0,30,36,10
Durex Pleasuremax 3c,0,30,37,9
Eunyul Mat Na Collagen 22ml,1,30,39,14
Fanta Cam 390ml (Thung/24 Chai),0,30,41,1
Glucophage Tab 500mg (5 Vi x 10 Vien),0,30,830,80
H&S BH Mat ruoi 625mlx6(01.14),0,30,30,3
Hiteen,0,30,32,2
Kotex Style Ban Dem SMC 3M,0,30,48,8
Kotex Style Day Canh 8M,0,30,33,8
Lifebuoy NRT Cham Soc Da 180g,0,30,31,6
Mobifone tra truoc 20 - Topup,0,30,31,-31
Oxy 10,0,30,32,2
P/S BCDR Long To Sach Hieu Qua,0,30,29,0
P/S BCDR Long To Sach Hieu Qua Bo,0,30,32,0
Poca Cheetos Snack Popcorn XO 38g,0,30,35,7
POP-PUF Bong Tay Trang Khong Ep Bien (Bao Ziper)5*6cm/100M,0,30,31,3
Strepsils Original (vi),0,30,492,36
Vina 50 - Payoo,0,30,30,10
Vinamilk Sua Tuoi Co Duong 180ml (Thung/48 hop),1,30,92,0
Whisper BVS SM Canh 10s,0,30,39,4
Xisat Rhinitis (xanh la),0,30,34,3
Xylitol Gum Blueberry 11.6g-15vi/Hop,0,30,38,22
Xylitol Gum Lime Mint 11.6g -15Vi/Hop,0,30,37,23
Xylitol Gum Lime Mint 58 g (H/40 vien),0,30,35,3
Abbott Ensure Vani 237ml,0,29,83,10
Acnes Sealing Jell Kem Ngua Mun -Khang Khuan 18g,0,29,29,5
Bepanthen Ointment 5% 30g,0,29,32,2
Bio-Acimin Gold (H/30goi),0,29,613,56
Bivinadol 500mg (10Vi x 10Vien),1,29,133,66
Cefalexin 500mg - DMC,0,29,206,94
Chlorpheniramine 4mg - MKP,0,29,420,0
Ciprobay Tab 500mg,0,29,209,11
Coke Light Lon Cao 330ml (Thung/24Lon),0,29,53,26
Giai doc gan Tue Linh(Hop/60vien),0,29,35,3
Glucophage Tab 850mg (H100v),0,29,671,129
Johnson Baby Tam Goi Toan Than 500ml,0,29,29,5
Kotex Style Ban Dem Moi SMC 28cm 4M,0,29,36,12
Lansoprazol 30mg - Stada,0,29,159,36
Mobi 10 - Payoo,0,29,31,1
MOBI 50,0,29,32,0
Nghia Nhip N408,0,29,30,6
Nizoral Shampoo 6Ml B/50 Sac.,0,29,90,60
Ospexin 500mg,0,29,262,158
Perfecti HD White Gum Pepermint 11.2g (Hop/15 Vi),0,29,37,34
Poca Khoai Tay Chien Tao Nori 54g,0,29,34,9
Pulmicort Respules 500mcg/2ml,0,29,130,30
Rovamycine 3MUI (2Vi x 5 Vien),0,29,203,17
Sakura tam bong tieu chuan (Hop/200 que),0,29,31,2
Tresemme DG Keratin Smooth 650g,0,29,27,2
Viettel tra truoc 50 - Topup,0,29,32,-32
Adrenoxyl 10mg (H 64v),0,28,661,163
Arcoxia Tab 90mg,0,28,164,31
BACH TUYET Bong Tay Trang Merilynn (Hop 60 Mieng),0,28,30,8
Betagen Sua Uong Len Men Huong Cam 85ml (Loc/4 Chai),0,28,66,17
Betalgine (10Vi x 10Vien),1,28,100,0
Bless You Khan Hop BY Hold Me 180to/hop,0,28,33,6
Cefpodoxim 100mg (12gói/H) - Euvipharm,1,28,144,0
Diana BVS Hang Ngay Sensi Slim-fit 8M,0,28,38,13
Diana BVS Sieu Tham Sieu Mong ko Canh 8M,0,28,37,11
Ercefuryl 200mg,0,28,197,55
Hiruscar Post Acne Cr 5g,0,28,26,3
KM Nivea LKM Nam 12ml,0,28,29,4
MegaCardio,0,28,28,7
Nizoral Shampoo Sol 100Ml B/1,0,28,34,0
Orgametril Tab 5mg (Hop/ 30 Vien),0,28,475,37
Orlistat Stada 120mg ( 2Vi x 21Vien),0,28,645,48
P/S BCDR Long to Mem Mai Bo 2,0,28,26,0
Pharmacity Khau trang mau vang (Goi/10 Cai),0,28,28,46
Poca Snack Party Prawn Cracker 33g,1,28,29,0
Remos Anti-Itch,0,28,29,2
Snickers Socola 35g,0,28,38,4
Soffell xit huong cam 80ml,0,28,30,12
Taokaenoi Big Roll Vi Cay 3.6g (1 Thung/144 Goi),0,28,68,39
Tardyferon B9 Tab,0,28,372,70
Urgoband 7.5cm x 4.5m,0,28,29,12
Vedette Mat Na Giay Duong Da Dua Leo,0,28,43,30
Xylitol Gum Blueberry 58g (H/40 Vien),0,28,33,6
Acnes Kem RM Ngan Ngua Mun Creamy Wash 100g,0,27,27,3
Agassi Khan Uot 20T,0,27,34,9
Amfadol Plus Caps 325mg/200mg,1,27,100,0
Centrum (30 Vien),1,27,90,0
Contractubex 50g Gel,0,27,25,3
Dutch Lady Sua Tiet Trung 20 DCTY Co Duong 220ml (Thung/48 B,1,27,50,0
Johnson Baby Phan Hong Powder Blossom 100g,0,27,27,3
Kirin Tra Xanh Nhat It Duong 345ml (Thung/24 Chai),0,27,29,12
Kotex BVS Hang Ngay Huong Tu Nhien Khang Khuan 40M,0,27,32,8
Kotex BVS Hang Ngay Sieu Mong Huong Hoa Cuc 8m/48,0,27,30,18
Kotex BVS Sieu Mem Sieu Mong Canh Ban Ngay 23cm 8M,0,27,32,13
Kotex Style SM Ko Canh 8M,0,27,29,17
l/Chai) chuyen qua ma moi P09465,1,27,39,
Oresol 245 - DHG,0,27,190,30
Partamol 500mg ( Hop/ 4 vi x 4 vien sui),0,27,87,25
PH Care DDVS Phu Nu  Bac Ha Mat Lanh (Cool wind) 150ml,0,27,31,2
Povidine gac - Pharmedic,0,27,72,15
Sensodyne Multi care 100g,0,27,29,10
Silkeron creme,0,27,27,2
Singulair Chewable 4mg,0,27,190,62
Tadalafil 10mg - Stada,0,27,78,10
Tra gung-Traphaco,0,27,35,1
Veet Kem Tay Long Da Nhay Cam 25g,0,27,30,6
Vien Xong Huong Tram,0,27,508,12
Vitamin C Keo Ngam con vit (Chai/16 vien),0,27,34,1
X Men XBC Wood 90g,0,27,30,3
Aikido Gel Cool Patch - đã đổi sang mã mới,1,26,40,0
Clear DG Mat Lanh Bac Ha 180g,0,26,29,10
Con 90 (500ml) - Cty Vinh Phuc,0,26,29,0
CONS Ace Band-S Transparent (Trong suot) (10M),0,26,30,11
Diabetna (4vi x 10vien),0,26,1080,0
Durex Love 3c,0,26,29,12
Durex Pleasuremax 12c,0,26,26,11
Glotadol F (10Vi x 10Vien),0,26,263,131
Happydent White Keo Cao Su 25.2g (Hop/18 Vien),1,26,28,2
HemoQ Mom 30caps,0,26,620,50
Hiruscar Post Acne Cr 10g,0,26,26,4
Kotex Style Day Ko Canh 8M,0,26,31,12
Kotex Style LST Sieu Mong Canh Ban Dem 35cm 3M,0,26,30,8
Lactacyd BB 250ml,0,26,27,3
M&M Chocolate Peanut 40g,0,26,31,4
Montiget 4mg (Hop/14Goi),0,26,85,0
Nghia Bam B903,0,26,26,4
Oxy SRM Deep Wash 010g,0,26,25,3
Pharmacity Ao Mua,0,26,26,8
Pharmaton kiddi syrup 100ml,0,26,27,12
Poca Khoai Tay Chien Suon Nuong 54g,0,26,28,8
Pond's Nuoc Hoa Hong Tay Trang 150ml,0,26,26,6
"QM Elastic Bandage 3"" (2 moc)",0,26,39,27
Rigevidon,0,26,43,8
Sterimar Baby Dung Dich Xit Mui 50ml - đã đổi sang mã mới,1,26,24,0
Sterogyl 2000.000UI,0,26,23,3
Systane Ultra 10ml,0,26,27,0
Trident Gum Spearmint 18pcs,0,26,29,9
Urgo Resistant Antiseptic 20’s,0,26,26,10
Veet Kem Tay Long Da Thuong 25g,0,26,27,9
Viettel tra truoc 20 - Topup,0,26,26,-26
Vinamilk Sua Tuoi Co Duong 220ml (Thung/48 Bich),1,26,76,0
Vinamilk Sua Tuoi Socola 220ml (Thung/48 Bich),1,26,48,0
Xylitol Gum Strawberry 11.6g -15Vi/Hop,0,26,28,9
Abone Muoi Tam Spa Goi 70g,0,25,25,8
Aikido Gel Cool Patch (Hop/3 Goi),0,25,44,3
Aisen Mut Tam Cresty BF016,0,25,27,2
Amoxicilin 500mg Vidipha,1,25,281,0
Aspirin pH8 MKP (Hop/200 vien),0,25,559,241
Barole 20mg,0,25,272,128
Cefpodoxim 200mg (vien) - Euvipharm,0,25,123,16
Cezil 10mg,1,25,590,0
Extra Keo Gum Khong Duong   Huong Dau 11g (Hop/12 Vi),0,25,27,17
Fisherman's Friend Cam Chanh & Menthol Keo Ngam 25g,0,25,27,25
Flemex Tab 375mg (Vi 10vien),1,25,153,428
Fressi Care Face Khan Uot 20M,0,25,27,8
Fucidin Cream 2% 15g,0,25,27,4
Hapacol Codein (C/100Vien),1,25,401,5
Kremil Gel ( Hop/ 30 Goi),0,25,116,31
Let Green Giay Ve Sinh Let Green Nho 10*21cm /130to/goi*48 g,0,25,27,5
Mekocefaclor 500 (H/16vien),0,25,141,17
Otifar,0,25,29,1
Perfecti Big Babol Gum 18g( Hop/12 Tuyp),0,25,25,10
Pond's SRM Trang Da Tinh Khiet 50g,0,25,25,5
Refresh Plus 0.4ml,1,25,28,0
Salonpas xit,0,25,28,3
Sorbitol,0,25,217,43
Tothema (2vi x 10ong),0,25,420,100
Tresemme DG Platinum Strength 650g,0,25,23,2
Trineuron (H/50v),0,25,131,68
Vinamilk Sua Tuoi Socola 180ml (Thung/48 Hop),1,25,38,0
VOLTIMAX 50,1,25,200,
3M Nut tai 1100,1,24,80,
Bella Flora BVS Ban Dem Cotton 10M,0,24,27,4
Bento Muc Tam Gia Vi Thai 24g,0,24,26,8
Biloba Stada (6Vi x 10Vien),0,24,120,0
Bisolvon Kids Sirô 60ml,0,24,25,4
Cellox Purify Giay Fancy Minipack 50's,0,24,30,20
Coke 1.5L (Thung/12 Chai),0,24,29,12
Colgate KDR Total Bac Ha 150g,0,24,25,0
Con Boric 3% (Nho Tai),0,24,27,2
CONS Hati Tra gung mat ong DHG (Hop/24 goi),1,24,29,0
Enalapril 10mg - Stada,0,24,39,6
Extra Keo Gum Khong Duong Huong Peppermint 11.2 g  (Hop/12 v,0,24,35,24
Gabahasan 300 (3Vi x 10Vien),0,24,386,64
Gatsby Wax Tao Kieu Toc Mat&Hard 75G,0,24,27,4
Ginkor Fort Cap,1,24,313,0
Green Cross Green Tea - Xanh la 100ml,0,24,29,3
Hiruscar 5g,0,24,25,3
Lactacyd Milky 250ml,0,24,22,2
Lincomycin 500mg - DMC,0,24,180,224
Lipistad 10mg Stada,0,24,555,58
Losartan 25mg Stada (Hop/30v),0,24,525,45
Methionin 250mg (C/100Vien) - Mekophar,0,24,239,161
Oishi Snack Tom Cay 45g/25,0,24,24,7
Paseo Khan Giay Du Lich Paseo 130 tờ (Pop Up),0,24,24,6
PEI TIEN Banh DD 12 Loai Ngu Coc  Vi Pho Mai 180g,0,24,23,2
Poca Cheetos Snack Cheese 40g,0,24,32,6
Rabestad 20 - Stada,0,24,283,47
Soffell xit huong hoa 30ml,0,24,24,10
Soffell xit huong hoa 80ml,0,24,30,9
Son Huong - Gac Cuon Dong Pha 10goi/Loc,0,24,33,6
Son Huong Bom Tiem 5ml/cc,0,24,67,35
Taokaenoi Big Bang Vi Muc 6g (1 Thung/240 Goi),1,24,29,
Tresemme DX Platinum Strength 340g,0,24,25,3
Trident Gum Cinnamon 18pcs,0,24,27,4
Urgo Mouth Ulcers - đã đổi sang mã mới,1,24,24,0
Urgo Waterproof 50's,0,24,25,3
VIETTEL 50,0,24,27,0
Vinamilk Sua Tuoi Khong Duong 180ml (Thung/48 Hop),1,24,40,0
Vitamin A (Hop 100vien) - MKP,0,24,438,62
Xisat Hong 70ml - đã đổi sang mã mới,1,24,23,0
Yomost Jellyz Vi Cam Dao 180 ml(Thung/24chai),1,24,29,0
7Up Lon Cao 330ml (1 Thung/24 Lon),0,23,33,9
Baby Care Khan Uot Mui Phan 30T,1,23,25,0
BAR 60 vien,0,23,23,2
Bless You Khan Napkin BY Hold ME 33*33/Goi,0,23,29,7
Cefixim 100mg MKP (Hop/12 goi),0,23,139,17
Concor Tab 5mg (Hop/30 Vien),0,23,276,47
Coveram 5mg/5mg,0,23,112,38
Dalacin C Cap 300mg Oth H/16vien,0,23,296,58
Dau Gio Eagle 6ml,0,23,24,2
Diana BVS Daily HHMB 20M,0,23,25,8
Doublemint Gum Bac Ha (Vi),1,23,30,6
Green Cross RT Huong dua tao 250ML,0,23,28,3
Hazeline SRM Chiet Xuat Nghe 50gr,1,23,24,2
Hazeline SRM Trang Min Ngoc Trai 50gr,1,23,23,2
Helen Harper Bong Ve Sinh Tai Mui 200M,0,23,24,4
Kotex Pro SM Ko Canh 8M,0,23,28,18
Kotex Sieu Mem Ban Dem 35cm 3M,0,23,29,8
M&M Chocolate Peanut 100g,0,23,23,5
Mega NNO Vite (Hop/ 30vien),0,23,23,2
MegaSlim,0,23,23,7
MOBI 100,0,23,28,0
Motilium Suspension 30ml H/1,0,23,23,2
Old Spice Sap KM Pure Sport 63g,0,23,24,2
One One Banh Gao Vi Bo Nuong 150g,0,23,24,0
