PRODUCTNAME,ISSTOPPED,RE06 # Transaction,RE01 # items_sold,Total Stock on hand
Bach Tuyet Bong Y Te 25g,0,185,194,13
Osla,0,183,195,17
Ricola Lemon Mint Keo Ngam 15g,0,183,230,22
BNERVIT - C,0,182,833,357
Pharmacity Khau trang mau vang (Goi/1 Cai),0,180,317,50
Decontractyl 500mg (2vix18vien),0,179,738,38
Amlodipin 5mg Stada (3Vi x 10Vien),0,178,4919,321
Urgo Transparent (100mieng),0,175,2139,250
Clarithromycin 500mg - Stada,0,174,848,165
Urgo Syval 1.25cm x 5m Strong Adhesive Tape,0,174,187,7
Natri Clorid Suc mieng 3/2 - đã đổi sang mã mới,1,173,261,0
Pharmaton Cap (Chai/30 vien),0,170,1282,278
Coke 390ml (Thung/24 Chai),0,167,233,14
Carbomango,0,165,4834,156
Efticol,0,165,461,60
Opesinkast 4mg,0,164,395,4
Strepsils Orange & Vita C (goi),0,163,409,88
Mobi 50 - Payoo,0,160,168,32
Alpha Choay (1 Ong x 40 Vien),1,159,1909,147
Cetaphil Gentle Skin Cleanser 125ml,0,156,154,8
Vinh Phuc - Oxy Gia (60ml),0,156,271,0
Vitamin C 100mg (C/200vien) - VIDIPHA,0,156,732,296
Povidine 20ml,0,155,163,16
Ricola Original Herb Keo Ngam 15g,0,155,180,12
Tragutan Vien (H100v),0,154,1734,271
Lavie Nuoc Khoang 500ml (Thung/24 Chai),0,151,191,19
Nestle Milo Thuc Uong Lua Mach 180ml (Loc/4 Hop),0,150,309,27
Cetirizin Stada 10mg (5Vi x 10Vien),0,148,1257,71
Bach Tuyet Merigo Tam Bong Tre Em 55 Que/Goi,0,147,396,21
Calcium Sandoz 500mg (sui),0,145,892,64
Tanakan Tab 40mg ( 2 Vi x 15 Vien),0,144,1799,120
Tanganil 500mg,0,144,923,73
Refresh Tears 15ml,0,143,155,8
Diclofenac 50mg - Stada,0,142,611,140
Dau Gio Khuynh Diep (L) - OPC,0,141,171,4
Ibumed 400 (10 vi x 10 vien),0,141,644,1956
Mobi 20 - Payoo,0,141,150,26
Medrol Tab 16mg,0,140,739,46
Son Huong - Dong Pha Gac Y Te Tiet Trung (L),0,139,201,4
Fisherman's Friend Mint Keo Ngam 25g,0,138,154,8
OK Bao Cao Su Original 3c/Goi,0,138,369,40
Voltaren ECT 50mg,0,137,728,272
Augmentin BD Tab 1g (1h/14v),0,134,1008,68
Diatabs(H25vx4vien),0,134,909,191
Lactomin Plus,0,133,796,44
Novogyl - MKP (2Vi x 10Vien),0,133,1032,128
7Up Revive 390ml (Thung/24 Chai),0,132,167,0
Euvixim 200mg (Hop/20 Vien) - Euvipharm,0,132,652,40
Tatanol Codein,0,132,491,69
Gaviscon Suspension H/24 Sac X 10ml (goi),0,131,942,42
Smecta (Orange-Vanilla) Sac (Hop/30 Goi),0,131,644,72
Zyrtec Tab 10mg (Vien),0,130,445,32
Cataflam 25mgTab (Hop/ 10 Vien),0,129,765,75
Twister Nuoc Ep Cam Quyt 455ml (Thung/24 Chai),0,129,166,14
Hapacol 650mg extra,0,128,490,89
Viettel 20 - Payoo,0,128,131,26
Ricola Alpin Fresh Keo Ngam 15g,0,127,142,19
Lactomin Caps H/60,0,126,501,122
Strepsils Original goi (mau do),0,126,374,128
Unicharm 3D Mask Super Fit- Sieu Vua Van 5 mieng/Cai,0,126,256,12
Lomac-20,0,125,925,173
Pharmacity Khau trang mau xanh duong (Goi/10 Cai),0,125,141,20
Povidine 8ml,0,125,153,3
Buscopan 10mg Tabs (H100v),0,124,549,151
Novomycine 3M.IU (Hop/10 vien),0,124,593,83
"VinhPhuc-Con Y Te 70 Do (mau trang, 60ml/chai)",0,123,247,0
Dextromethorphan 15mg - H600v - Cty 3/2,0,122,592,601
Neopeptin vien,0,122,755,145
Bao Thach Gac Y Te Tiet Trung (N),0,120,179,3
Diana BVS Sensi SM Canh 8M(Moi Trang ),0,120,159,4
Domperidon 10mg - Stada,0,118,595,209
Ecosip TATRA (nong),0,117,178,42
Oral-B Tam Chi Nha Khoa Essential Floss Mint,0,116,137,25
Amoxicillin 500mg - DMC,0,115,2379,113
Fisherman's Friend Cherry Keo Ngam 25g,0,115,122,20
Hapacol 325mg,0,115,906,194
Saka Nuoc I-on 555ml (Thung/ 24 Chai),0,115,137,36
Calci D (Hop/100 vien),0,114,1176,211
Klamentin 625mg,0,114,588,95
Mifestad 10mg,0,114,131,6
Sua Ong Chua VitaC,0,114,179,13
Thai Duong Dau Goi Thai Duong Do 200ml,0,114,118,9
Mercilon Tab (Hop/ 21 Vien),0,112,118,8
Tempo Khan Giay Icy Menthol 10goi/loc* 30 loc/thung,0,112,255,34
Dizzo (12Vi x 4Vien),0,111,367,61
Panadol Eff. h/20 (sui),0,111,511,107
Richeese Nabati Banh Xop Pho Mai 52gr*60 goi/thung,0,110,120,10
Cataflam 50mg,0,109,442,80
Enat 400,0,109,269,16
Mimosa,1,109,1772,28
Daflon Tab 500mg (4 Vi x 15 Vien),0,108,2078,140
VRohto Cool,0,108,109,5
ALP Keo Mem 2Chew Huong Nho 16c/Hop,0,107,132,29
Imexofen 60mg (3Vi x 10Vien) - Imexpharm,0,107,492,121
Lavie Nuoc Khoang 1.5L (1 Thung/12 Chai),0,107,135,14
Unicharm 3D Khau Trang Kids (Goi/ 3 Mieng),0,107,232,14
Da Huong Nuoc Rua Phu Khoa Mau Tim 100ml,0,106,108,6
VRohto New,0,106,110,6
ACEFALGAN 500 (Vien nen tron),1,104,500,0
Decolgen Forte,0,103,732,168
Dipolac G Cream 15g,0,103,137,6
Hapacol CF (10vi x 5vien),0,103,391,96
Tiffy vien (25 Vi x 4 Vien),0,103,906,154
Tylenol 650Mg 8 Hour Cap. B/50 (Vien),1,102,413,0
Duphalac 15ml (goi),0,101,595,20
Chlorpheniramin(10x20)-Vidipha+DHG,0,100,2197,414
Quick Nurse Bong Y Te Dang Cuon 25G*96bao/thung,0,100,108,20
Urgo Washproof(Water-resistant) (30M),0,99,1027,227
Cortibion,0,98,131,7
Pharmacity Khau trang mau vang VN718007 (48 cai/hop),0,98,4800,1776
Tyrotab Vien Ngam Sat Trung Hop Nhua 24v,0,98,117,8
Alpen Ori Keo Thoi 16c/Hop,0,97,118,24
Becofort Caps,0,97,684,37
Extracare Card,0,97,146,38
Pharmaton Cap,1,97,980,0
Diane 35 Tab (Hop/ 21 Vien),0,96,97,5
Elthon Tab 50mg,0,96,339,20
Klamentin 1g,0,96,491,32
EUPROCIN 500,0,94,534,166
"Meloxicam Stada 7,5mg",0,94,709,78
VRohto Vitamin,0,94,92,8
Rectiofar Nguoi Lon 5ml (H 40 ong),0,93,1005,75
Siang Pure Oil 7cc (Loc 6 chai),0,93,146,19
Bach Tuyet Bong Y Te 100g,0,92,109,3
Unicharm 3D Mask Virus Block- Sieu Vua Van 5 mieng/Cai,0,92,122,15
Strepsils Honey Lemon (goi),0,91,199,44
Vita C Ngam (Hop lon/46 goi),0,91,165,66
Denicol,0,90,116,8
Mepraz 20mg (5 Vi x 4 Vien),0,90,583,40
Siang Pure Oil 3cc (Loc 6 chai),0,90,110,2
Chip-Chips (Que thu thai),0,89,165,55
Gac Y Te Tiet Trung (N) - Dong Pha,0,89,113,6
Sting Dau Lon Cao 330ml (1 Thung/24 Lon),0,89,131,20
ALP Keo Nhai MT Cau Vong 16c/Hop,0,88,103,27
Bo Phe Nam Ha siro,0,88,97,5
Rhinex 0.05% 15ml,0,87,150,9
Aquarius 390ml (Thung/24 Chai),0,86,113,33
Cao Dan Cop 7 Chu,0,86,140,156
Loperamid Stada,0,86,491,87
Mountain Dew Nuoc Co Gaz 390ml (Thung/24 Chai),0,86,100,18
Gentri-sone,0,85,115,7
Son Huong Gang Tay Y Te Size M,0,85,1867,50
Acyclovir STADA Cream - Duc 2g,0,84,96,4
Tatanol Forte ( Hop/ 30 vi x 5 vien nen),0,84,314,284
Betaserc Tab 16mg,0,83,789,111
Cetaphil Gentle Skin Cleanser 500ml,0,83,84,19
Codatux Keo Ngam Giam Ho 10Goi/Hop,0,83,322,178
Concor COR Tab 2.5mg(3vi x 10vien),0,83,41,2
Diana BVS 4 Teen Sieu Mong Canh 8M,0,83,120,11
Dolfenal,0,83,427,170
Helen Harper Bong Tay Trang Cao Cap 120M,0,83,89,6
Hofaco Hop Dung Thuoc Ngay,0,83,119,2
Vitamin C 250mg-Vidipha,0,83,297,200
Acemuc 100mg (Hop/30 Goi),0,82,491,137
Acemuc 200mg (Hop/30 Goi),0,82,723,108
Augmentin BD Tab 625mg (1h/14v),0,82,659,55
Kotex Style SM Canh 8M,0,82,127,10
Terpine Gonnon Tab ( 2 Vi x 10 Vien),1,82,360,0
Aerius Tab 5mg,0,81,496,44
Coxileb 200 Glomed (Hop/3 vi/30 vien),0,81,300,0
Da Huong Nuoc Rua Phu Khoa 100ml,0,81,85,7
Dorkbua Brand Banh Que Tom 25g,0,81,89,6
Kotex Pro SM Canh 8M,0,81,110,11
Mobi 100 - Payoo,0,81,84,14
Pharmacity Khau trang mau hong (Goi/10 Cai),0,81,85,40
Vaseline Kem Duong Am  49g,0,81,78,26
Ampicilin 500mg - DMC,0,80,688,212
Colgate BCDR Slimsoft Charcoal,0,80,89,8
Farzincol 10mg,0,80,929,152
Jomi Bong Tay Trang 80M/tui,0,80,91,9
Pepsi 390ml (Thung/24 Chai),0,80,91,17
Pharmacity Ao mua tien loi,0,80,126,65
Thuoc ho bao thanh vien ngam (20vi + 1vi/H),1,80,6,0
Quick Nurse Bong Y Te Dang Cuon 50G*48bao/thung,0,79,104,20
Domitazol DMC,0,78,701,65
Neurobion Tab (5 Vi x 10 Vien),0,78,870,130
Okamura Tam Chi Nha Khoa 90 Cay/ Goi,0,78,91,2
Pharmaton Fizzi Eff,0,78,350,0
Thuoc Ho Bao Thanh Siro 125ml,0,78,86,6
Toplexil vien,1,78,576,0
ALP Keo Mem 2Chew Huong Dau 16c/Hop,0,77,86,25
Hapacol 250mg,0,77,567,57
Helen Harper Bong Tay Trang Cao Cap 80M,0,77,85,0
Strepsils Cool (vi),0,77,1116,84
Tetracylin 500mg (10vi x10vien) - Vidipha,0,77,744,173
Augmentin 250/31.25 Sac 250mg (Hop/ 12 Goi),0,76,471,21
Fexostad 180 (H/10v),0,76,400,20
KM Pharmacity Ao mua tien loi,0,76,82,
Levigatus,0,76,78,5
Nizoral Cream 10gr,0,76,83,4
Bach Tuyet Bong Y Te 45g,0,75,75,7
Diana BVS Night 35cm 3M,0,75,107,7
Mecam 15mg Tab,0,75,239,0
Scanneuron,0,75,610,183
PUFFME Bong Tay Trang Ep Da Dung 5*6cm/80M,0,74,86,4
Tobrex Drop 0.3% 5ml,0,74,75,4
Urgo Durable (Elastic Fabric) 20's,0,74,1240,120
Vaseline Pure tube (huong dau) - OPC,0,74,78,12
Ameprazol 20 mg (5 Vỉ x 6 Vien Nang),0,73,495,129
Centrum (60 Vien),1,73,766,0
Early (But thu thai),0,73,95,17
Early (But thu thai) - đã đổi sang mã mới,1,73,95,0
Solupred 5mg (Chai),0,73,404,46
Viettel 50 - Payoo,0,73,77,32
Wonderfarm Tra Bi Dao 310ml (Thung/24 Lon),0,73,82,15
Coke Lon Cao 330ml (Thung/24Lon),0,72,98,20
Fleming 1 g (2 Vi x 7 Vien Nen),1,72,418,0
